 ,'&','(',')','*','+',"','",'-','/',';','<','<=','<>','=','==','>','>=','char','charType','else','float','floatType','id','if','int','intType','return','start','void','while','{','|','}',$end,AssignStmnt,CondStmnt,DataType,DeclStmnt,FuncDataType,FunctCall,IdList,IdListother,LoopStmnt,ParamList,RetStmnt,and,any,argument,arguments,arithemticOrBooleanexpr,arithmeticexpr,const,div,eq,expr,factor,function,functions,ge,gt,le,logicalop,lt,minus,mult,ne,newexpr2,newexpr3,newexpr4,newexpr5,or,plus,program,program1,relationalop,startprog,stmnt,stmnts,term,term1
72,,,,,,,,,s111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,s112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,r45,,,,,,,,,,,,,,,,r45,,,r45,r45,,,r45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,s60,,,,,,,,,,,,,,,,s44,,,s45,s62,,,s47,,,,,,,,,,,,,,,,,,,,,113,,,,55,42,,,,57,,,,,,,,,,,,,,,,,,,,,,,58,59
76,,,r28,,,r28,,,r28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,r46,,,,,,,,,,,,,,,,r46,,,r46,r46,,,r46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,r22,,,,,,,,,,,,,,,,r22,,,r22,r22,,,r22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,r61,,,,,,,,,,,,,,,,r61,,,r61,r61,,,r61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,r68,,,,,,,,,,,,,,,,r68,,,r68,r68,,,r68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,r69,,,,,,,,,,,,,,,,r69,,,r69,r69,,,r69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,r66,,,,,,,,,,,,,,,,r66,,,r66,r66,,,r66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,r70,,,,,,,,,,,,,,,,r70,,,r70,r70,,,r70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,r65,,,,,,,,,,,,,,,,r65,,,r65,r65,,,r65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,r67,,,,,,,,,,,,,,,,r67,,,r67,r67,,,r67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,r23,,r23,,,r23,,,r23,,,,,,,,,,,,,,,,,,,,,,r23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,s60,,,,,,,,,,,,,,,,s44,,,s45,s62,,,s47,,,,,,,,,,,,,,,,,,,,,,,,,114,42,,,,57,,,,,,,,,,,,,,,,,,,,,,,58,59
88,,r47,,,,,,,,,,,,,,,,r47,,,r47,r47,,,r47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,r44,,,,,,,,,,,,,,,,r44,,,r44,r44,,,r44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,r50,,,,,,,,,,,,,,,,r50,,,r50,r50,,,r50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,r34,,,,,,,,,,,,,,,,r34,,,r34,r34,,,r34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,r43,,,,,,,,,,,,,,,,r43,,,r43,r43,,,r43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,r42,,,,,,,,,,,,,,,,r42,,,r42,r42,,,r42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,r20,,,r20,,r20,r20,r20,,r20,,,r20,,,r20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
